"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.287720399E2,6.507989687E1,2.545210189E1,4.621701248E0,2.211611915E1,1.437399546E0,3.562133543E2,2.302333053E-1,4.737494987E0,3.373526090E0,-1.000000000E0
1.297720319E2,6.507991038E1,2.545209898E1,4.489689948E0,2.198411356E1,1.403342652E0,3.566123801E2,2.319750543E-1,4.737777916E0,3.373128734E0,-1.000000000E0
1.307720225E2,6.507992604E1,2.545209882E1,4.377623416E0,2.187205323E1,1.518347423E0,3.578021664E2,2.332509716E-1,4.742154673E0,3.366972838E0,-1.000000000E0
1.317720145E2,6.507993752E1,2.545209879E1,5.353011820E0,2.284744617E1,1.351819449E0,1.168411408E0,2.348800654E-1,4.737880976E0,3.372983974E0,-1.000000000E0
1.327733151E2,6.507995099E1,2.545211243E1,5.272592114E0,2.276703004E1,1.410026780E0,1.336131903E1,2.362350667E-1,4.737290067E0,3.373813844E0,-1.000000000E0
1.337733250E2,6.507996253E1,2.545212179E1,6.132183043E0,2.362662432E1,1.341386661E0,1.758522930E1,2.379447031E-1,4.737474034E0,3.373555515E0,-1.000000000E0
1.347733163E2,6.507996953E1,2.545215428E1,6.477194771E0,2.397163465E1,1.360558768E0,3.749880073E1,2.404949345E-1,4.735112647E0,3.376869149E0,-1.000000000E0
1.357733253E2,6.507997235E1,2.545220830E1,6.543548987E0,2.403798306E1,1.681271440E0,6.091416614E1,2.421324496E-1,4.737483415E0,3.373542341E0,-1.000000000E0
1.367733289E2,6.507997351E1,2.545224314E1,6.070516726E0,2.356494679E1,1.463761653E0,7.408857975E1,2.438680856E-1,4.737749954E0,3.373168008E0,-1.000000000E0
1.377733134E2,6.507997448E1,2.545228011E1,6.457575911E0,2.395200162E1,1.448665308E0,7.935565352E1,2.456115403E-1,4.737247073E0,3.373874213E0,-1.000000000E0
1.387733144E2,6.507997769E1,2.545231653E1,6.949128420E0,2.444355073E1,1.447421277E0,8.011501004E1,2.475336739E-1,4.737297474E0,3.373803443E0,-1.000000000E0
1.397733153E2,6.507998636E1,2.545235202E1,7.555894547E0,2.505031573E1,1.594717492E0,7.357950373E1,2.497501727E-1,4.733470507E0,3.379170607E0,-1.000000000E0
1.407732973E2,6.508000238E1,2.545238020E1,7.487425759E0,2.498184965E1,1.519720034E0,5.217890606E1,2.519152065E-1,4.730251479E0,3.383675218E0,-1.000000000E0
1.417732931E2,6.507999712E1,2.545242469E1,7.928563956E0,2.542298007E1,1.555026614E0,7.640843774E1,2.533588161E-1,4.728965884E0,3.385471711E0,-1.000000000E0
1.427732917E2,6.507999690E1,2.545245550E1,8.938681184E0,2.643309327E1,1.438581955E0,8.305155091E1,2.559594352E-1,4.729267277E0,3.385050672E0,-1.000000000E0
1.437732718E2,6.507999300E1,2.545251023E1,8.301321725E0,2.579572525E1,1.756007412E0,9.238254028E1,2.573275855E-1,4.733757207E0,3.378768968E0,-1.000000000E0
1.447732686E2,6.507999636E1,2.545253832E1,8.793803958E0,2.628820521E1,1.478775601E0,8.600460875E1,2.594611541E-1,4.733415292E0,3.379247950E0,-1.000000000E0
1.457732689E2,6.507998625E1,2.545257702E1,8.765653748E0,2.626004605E1,1.738116700E0,1.024795248E2,2.612247845E-1,4.732550484E0,3.380458985E0,-1.000000000E0
1.467732503E2,6.507999513E1,2.545260821E1,9.328646591E0,2.682303840E1,1.451522874E0,8.113641278E1,2.626653753E-1,4.732843404E0,3.380048868E0,-1.000000000E0
1.477732326E2,6.507999438E1,2.545263891E1,9.207202658E0,2.670159024E1,1.443153902E0,8.266955968E1,2.642603607E-1,4.731116599E0,3.382465485E0,-1.000000000E0
