"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.105469708E0,9.782606964E0,7.284900970E0,7.604636078E0,1.437357544E1
3.115465708E0,9.807305603E0,8.318501587E0,7.833659821E0,1.505811867E1
3.125461708E0,9.812245331E0,8.990903320E0,7.464527435E0,1.525895379E1
3.135458708E0,1.000788849E1,9.484576721E0,6.615043945E0,1.529293412E1
3.145454708E0,9.719438324E0,9.565408630E0,6.155798950E0,1.496189775E1
3.155450708E0,8.591833191E0,9.336684265E0,5.856122131E0,1.397452815E1
3.165446708E0,7.188651123E0,9.339827728E0,5.784271545E0,1.312885693E1
3.175443708E0,6.028114471E0,9.583820343E0,5.542374573E0,1.260578012E1
3.185439708E0,4.676724701E0,9.673034821E0,4.925956421E0,1.181966172E1
3.195435708E0,3.453917542E0,9.499246216E0,3.965104523E0,1.085759084E1
3.205432708E0,2.127825165E0,9.606573029E0,3.513194275E0,1.044779495E1
3.215428708E0,7.854167175E-1,9.632768555E0,3.380869446E0,1.023901302E1
3.225424708E0,-3.245251465E-1,9.697733459E0,3.227139130E0,1.022574094E1
3.235420708E0,-1.153650970E0,9.775571594E0,3.100951538E0,1.032030092E1
3.245417708E0,-1.765279083E0,9.680818634E0,2.994971924E0,1.028612252E1
3.255413708E0,-2.068847809E0,9.536518707E0,2.896776123E0,1.017922552E1
3.265409708E0,-2.067949677E0,9.560768280E0,2.883902893E0,1.019811756E1
3.275405708E0,-1.708397369E0,9.742340698E0,2.924618225E0,1.031432090E1
