"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.372819167E0,2.987737164E0,4.101430017E-1,2.637466727E0,4.006372596E0
2.382810167E0,2.603737648E0,2.902235522E-1,3.427538998E0,4.314128305E0
2.392800167E0,2.147148020E0,2.884581316E-1,3.827737640E0,4.398298324E0
2.402790167E0,1.592049472E0,4.506674952E-1,4.097511798E0,4.418973370E0
2.412780167E0,1.290965082E0,6.716171101E-1,4.189832316E0,4.435352886E0
2.422770167E0,1.219156012E0,9.940761430E-1,3.797003505E0,4.109959169E0
2.432761167E0,1.419513926E0,1.194439612E0,2.917751255E0,3.457597165E0
2.442751167E0,1.847386416E0,1.466479931E0,2.371650549E0,3.344865661E0
2.452741167E0,1.936002139E0,1.551448307E0,2.057166826E0,3.222891789E0
2.462731167E0,1.791005663E0,1.194003410E0,1.896301153E0,2.868676261E0
2.472721167E0,1.670387252E0,7.413141666E-1,2.592059589E0,3.171515912E0
2.482712167E0,8.943239596E-1,-6.317733787E-2,3.493507869E0,3.606716506E0
2.492702167E0,2.580577265E-2,-9.207982517E-1,4.284810979E0,4.382709263E0
2.502692167E0,-3.742410610E-1,-1.505896889E0,5.219404201E0,5.445177869E0
2.512682167E0,-2.395165346E-1,-1.990038598E0,5.596011082E0,5.944153583E0
2.522672167E0,2.531827932E-1,-2.180498784E0,5.291682803E0,5.728925149E0
2.532663167E0,9.008426549E-1,-1.961314297E0,4.510076716E0,4.999906324E0
2.542653167E0,1.448910656E0,-1.518491792E0,3.148123366E0,3.783627907E0
2.552643167E0,1.610174671E0,-1.017620395E0,1.288798251E0,2.299829270E0
2.562633167E0,1.453243151E0,-4.696074307E-1,-3.820032763E-1,1.574285012E0
2.572623167E0,1.265695609E0,1.449086219E-2,-1.704703099E0,2.123254110E0
2.582613167E0,4.706926739E-1,8.966749057E-2,-2.582483604E0,2.626559235E0
2.592604167E0,-1.357416788E0,2.403606167E-1,-2.527050245E0,2.878599747E0
2.602594167E0,-1.523803110E0,1.149685389E-1,-2.836853272E0,3.222255448E0
2.612584167E0,-1.501980424E0,-1.806563057E-2,-2.958375955E0,3.317869777E0
2.622574167E0,-1.652427675E0,-8.485420883E-2,-2.736048444E0,3.197448756E0
2.632564167E0,-1.338575597E0,-2.310585006E-1,-2.630046610E0,2.960121253E0
2.642555167E0,-7.292401779E-1,-4.262623134E-1,-2.693890604E0,2.823214016E0
2.652545167E0,-2.953467364E-1,-3.947943529E-1,-2.300598693E0,2.352837993E0
2.662535167E0,3.114994504E-2,-3.043658838E-1,-1.860125014E0,1.885119089E0
2.672525167E0,-4.699405027E-1,-4.410190777E-1,-1.604242086E0,1.728853543E0
2.682515167E0,-1.035005410E0,-5.392332607E-1,-1.443937746E0,1.856600367E0
2.692506167E0,-1.026308992E0,-3.472409580E-1,-1.287279729E0,1.682550305E0
2.702496167E0,-9.357459276E-1,-2.371448674E-1,-1.217099108E0,1.553444034E0
2.712486167E0,-4.363870597E-1,-1.857506923E-2,-1.159146184E0,1.238708430E0
2.722476167E0,-1.995794304E-1,3.555493033E-1,-1.100316762E0,1.173432671E0
2.732466167E0,-1.137857933E-1,5.682279586E-1,-1.000179101E0,1.155936181E0
2.742457167E0,5.423389728E-1,4.416261649E-1,-1.190066260E0,1.380370579E0
2.752447167E0,6.813497275E-2,2.841013712E-1,-1.511668968E0,1.539642502E0
2.762437167E0,-4.777898781E-1,1.956580684E-1,-1.472017245E0,1.559935901E0
2.772427167E0,-1.086285199E0,-7.919432335E-2,-1.206810347E0,1.625631720E0
2.782417167E0,-1.520428097E0,-2.861561559E-1,-8.545389926E-1,1.767434252E0
2.792408167E0,-1.902601820E0,-3.859399143E-1,-2.613108981E-1,1.958858517E0
2.802398167E0,-2.422304832E0,-6.409494142E-1,1.345134419E-1,2.509276931E0
2.812388167E0,-2.858421312E0,-9.650050293E-1,6.055972946E-1,3.077101751E0
2.822378167E0,-2.953946982E0,-1.310303725E0,1.540620872E0,3.579973644E0
2.832368167E0,-3.006646182E0,-1.856424311E0,2.527809214E0,4.344657859E0
2.842359167E0,-2.808826983E0,-2.395029618E0,3.050178410E0,4.788451130E0
2.852349167E0,-2.346217208E0,-2.725589237E0,3.195695727E0,4.811033471E0
2.862339167E0,-2.184866800E0,-2.987298623E0,3.050905219E0,4.796417273E0
2.872329167E0,-8.363120520E-1,-2.519710820E0,2.209482701E0,3.454008435E0
2.882319167E0,2.037973925E-3,-1.631292037E0,1.269158623E0,2.066853036E0
2.892309167E0,1.234878590E-1,-1.025965176E0,1.037641042E-1,1.038566697E0
2.902300167E0,-2.313443564E-2,-5.394480363E-1,-1.219609317E0,1.333786442E0
2.912290167E0,4.374185085E-1,-1.109180264E-1,-2.021286557E0,2.071047345E0
2.922280167E0,5.842589043E-2,3.866778329E-2,-2.277934885E0,2.279012094E0
2.932270167E0,-2.746777792E-1,-3.639369880E-1,-2.411675910E0,2.454399867E0
2.942260167E0,-4.092714742E-2,-8.508944231E-1,-2.119222741E0,2.284031825E0
2.952251167E0,-5.225707792E-2,-1.049550797E0,-8.716134471E-1,1.365283004E0
